#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 08 00 00 289  2.4  2.6 99.00 99.00 99.00 999 1015.4   0.8   1.2  -5.5 99.0 99.00
2010 01 08 01 00 277  1.5  1.8 99.00 99.00 99.00 999 1015.4   0.5   1.4  -4.7 99.0 99.00
2010 01 08 02 00 275  1.8  2.1 99.00 99.00 99.00 999 1014.8   0.4   1.5  -4.9 99.0 99.00
2010 01 08 03 00 203  0.8  0.9 99.00 99.00 99.00 999 1014.4   0.3   1.5  -4.9 99.0 99.00
2010 01 08 04 00  91  1.3  1.7 99.00 99.00 99.00 999 1013.5   0.2   1.4  -4.3 99.0 99.00
2010 01 08 05 00 179  2.2  2.9 99.00 99.00 99.00 999 1013.0  -0.1   1.2  -3.1 99.0 99.00
2010 01 08 06 00 165  4.7  5.0 99.00 99.00 99.00 999 1012.0  -1.1   1.0  -1.2 99.0 99.00
2010 01 08 07 00 167  4.1  4.4 99.00 99.00 99.00 999 1011.1  -0.9   0.7  -1.0 99.0 99.00
2010 01 08 08 00 183  5.3  5.6 99.00 99.00 99.00 999 1010.8  -0.4   1.1  -0.5 99.0 99.00
2010 01 08 09 00 208  4.3  4.6 99.00 99.00 99.00 999 1010.1  -0.4   1.2  -0.4 99.0 99.00
2010 01 08 10 00 292  3.4  3.9 99.00 99.00 99.00 999 1010.2  -1.3   1.3  -1.3 99.0 99.00
2010 01 08 11 00 283  3.2  3.6 99.00 99.00 99.00 999 1010.1  -1.4   1.3  -1.5 99.0 99.00
2010 01 08 12 00 298  2.3  2.6 99.00 99.00 99.00 999 1010.3  -1.4   1.3  -1.5 99.0 99.00
2010 01 08 13 00 267  3.2  4.1 99.00 99.00 99.00 999 1010.1  -1.6   1.0  -1.6 99.0 99.00
2010 01 08 14 00 310  5.3  6.1 99.00 99.00 99.00 999 1010.6  -1.5   1.3  -2.6 99.0 99.00
2010 01 08 15 00 311  7.6  8.7 99.00 99.00 99.00 999 1011.2  -1.0   1.5  -3.6 99.0 99.00
